YORUM,URUN_KALITESI,PAKETLEME/TESLIMAT,FIYAT/PERFORMANS,URUN_TASARIMI
"ürün dün elime ulaştı, acil demiştim hızlı bir şekilde gönderdiniz çokteşekkür ederim. çantayı beğendim keza hediye için almıştım. yanlızçantanın ön kısmında hafif bir çizik izi var dikkatli bakınca farkediliyor iliginizden dolayı görmezden gelicem :) kullanılabilir,beğendim :)",1.0,0.0,0.0,1.0
çanta harika herkese öneriyorum,1.0,0.0,0.0,0.0
deri kalitesi muazzam,1.0,0.0,0.0,0.0
güzel ve kullanışlı bir uyun bence ben çok beğendim,1.0,0.0,0.0,1.0
göründüğü gibi kullanışlı güzel,1.0,0.0,0.0,1.0
ürün kaliteli ve güzel duruyor ben çok beğendim küçük bir not geldi odaçok güzeldi teşekkürler ☺️,1.0,1.0,0.0,1.0
çok güzel kibar bi çanta,1.0,0.0,0.0,1.0
çok beğendim,1.0,0.0,0.0,0.0
çok çok güzel,1.0,0.0,0.0,1.0
aynı ürünün daha uygun fiyatlı olanını almıştım ama asla iyi değildigerçekten zarif bir çanta arıyorsanız kesinlikle güvenerek alabilirsinizkalitesi mükemmel 👌,1.0,0.0,0.0,1.0
kalitesi ve duruşu baya iyi yazın beyazını da alıcam,1.0,0.0,0.0,1.0
kalitesi güzel basit durmuyor,1.0,0.0,0.0,1.0
fiyatına göre kaliteli,1.0,0.0,1.0,0.0
ben çanta'yı annem'e aldım.annem çok beğendi,1.0,0.0,0.0,1.0
çok cici hem spor hem klasik her kombine yakışıyor,1.0,0.0,0.0,1.0
oldukça şık ve kullanışlı,1.0,0.0,0.0,1.0
muazzam güzel bir çanta harika harika,1.0,0.0,0.0,1.0
kaliteli gayet güzel ürün ben çok beğendim,1.0,0.0,0.0,1.0
arkadaşıma hediye olarak aldim cok begendi,0.0,0.0,0.0,0.0
"çanta küçük olmasına karşın şık, memnunum",1.0,0.0,0.0,1.0
tam bi fiyat performans ürünü herşey olan o siyah çanta,1.0,0.0,1.0,1.0
çok güzel küçük kutu gibi şık bir çanta sonbahar ve kış kombinlerime çokyakışacak 🖤,0.0,0.0,0.0,1.0
şimdide siyahını aldım ürünler efso,1.0,0.0,0.0,1.0
çok kullanışlı kaliteli,1.0,0.0,0.0,0.0
"bu ürün pratik ve güzel, bu yüzden satın almanızı tavsiye ederim,teşekkür ederim",1.0,0.0,0.0,1.0
tavsiye üzerine aldım umarım etkili olur 🤍,0.0,0.0,0.0,0.0
eşime aldım çok beğendi,0.0,0.0,0.0,1.0
i̇dare eder,0.0,0.0,0.0,0.0
görselde ne görüyorsanız o geliyor kalitesi muhteşem tam muadil 🧚‍♂️,1.0,0.0,0.0,1.0
çanta güzel ama askısı ince çok dayanıklı değil,1.0,0.0,0.0,1.0
hediye olarak aldım çanta var sapı yok,1.0,1.0,0.0,1.0
güzeldi beğendin,1.0,0.0,0.0,0.0
aşırı şık durdu . çok beğendim ❤️,1.0,0.0,0.0,1.0
10 numara böyle kullanışlı ve kurtarıcı parça yokk,1.0,0.0,0.0,1.0
2 rengini aldım. beğendim. başka renkleri de alınır,1.0,0.0,0.0,1.0
"çok güzel, hızlı geldi.",1.0,0.0,0.0,0.0
çok sevdim tam bir fiyat performans ürün.,1.0,0.0,1.0,0.0
"çok severek kullandığım çanta, teşekkürler",1.0,0.0,0.0,0.0
aayy bayıldım çook kibar çok şıkk . kesin alın kızlarr😍😍😍,1.0,0.0,0.0,1.0
"küçük ama çok kibar çok şık bir çanta, çok beğendim 😍 bu güzel notunuziçin de teşekkür ederim 🥰",1.0,1.0,0.0,1.0
boyutunu böyle beklemiyordum bana göre çok küçük tabi zevk meselesiküçük çanta sevenler için ideal,0.0,0.0,0.0,1.0
çanta cokkk guzel küçuk bir canta kucuk cuzdan ve telefon atılabiliriçine  fermuarsız kalitesi guzel,1.0,0.0,0.0,1.0
güvenerek alabilirsiniz. görselin aynısı çok güzel ve kullanışlı. kargoçok çabuk ve özenli geldi. teşekkür ederim 🙏,1.0,1.0,0.0,1.0
çok çok güzel kalitesi şahane,1.0,0.0,0.0,0.0
"yaklaşık 1.5 aydır kullanıyorum, en kötü arada bir takarım diye aldımama şimdi hep bu çantaya elim gidiyor, fiyatını fazlasıyla hak ettiğini düşünüyorum",1.0,0.0,1.0,0.0
zara muadili çok beğendim,1.0,0.0,1.0,1.0
arkadaşıma hediye olarak aldım oldukça güzel içinin büyüklüğü de yeterli,1.0,0.0,0.0,1.0
çok güzel bir çanta bayıldım gerçekten ben 155 e aldım sonuna kadarhakediyor parasını bıraktığınız not da çok güzel zarif teşekkür ederim 😊,1.0,1.0,1.0,1.0
arkadaşıma hediye olarak aldık hem çok güzel hem de kargo aşırı hızlıydı.,1.0,1.0,0.0,1.0
tam fiyat performans ürünü hediye aldım güzel,1.0,0.0,1.0,0.0
güzel ürün,1.0,0.0,0.0,1.0
göründüğü gibi çok güzel,1.0,0.0,0.0,1.0
her rengini aldık nerdeyse çok hoş,1.0,0.0,0.0,1.0
urun güzel ve şık kucuk canta sevenler icin ideal,1.0,0.0,0.0,1.0
bu fiyata baya iyi,0.0,0.0,1.0,0.0
güzel kullanışlı kaliteli,1.0,0.0,0.0,1.0
tereddütlü sipariş vermiştim ama çantaya bayıldım not için deteşekkürler 🤗,1.0,1.0,0.0,1.0
fiyatına göre çok iyi bi ürün. severek kullanıyorum,1.0,0.0,1.0,0.0
ürünü çok beğendim tavsiye ederim 🌺,1.0,0.0,0.0,0.0
"çanta göründüğü gibi , şık bi ürün tavsiye ediyorum",1.0,0.0,0.0,1.0
cok kaliteli. gayet guzel bir kutu icinde geldi. icinde ki notu cokbegendim. 😊,1.0,1.0,0.0,0.0
hem şık hem spor bi çanta,0.0,0.0,0.0,1.0
tam istediğim gibi geldi kibar ve kaliteli kargo çok hızlıydı,1.0,1.0,0.0,0.0
"ürünü hediye almıştım, paketlemesi gayet özenliydi fakat çantanınderisinde bir soyulma vardı, uygun maliyetli olduğu için iade etmedim.puanı yüksek diye tercih etmiştim. hediye için doğru seçenek olmasa dakendi kullanımınız için tercih edilebilir.",1.0,1.0,1.0,0.0
kaliteli geldi,1.0,0.0,0.0,0.0
cook güzel canta alın kesin,1.0,0.0,0.0,1.0
cok tarz ve guzel zara gibi,1.0,0.0,0.0,1.0
cok tatli bi canta,0.0,0.0,0.0,1.0
kalitesini çok beğendim fiyatını hak eden bir çanta,1.0,0.0,1.0,0.0
cokk guzel bayildimmm,1.0,0.0,0.0,1.0
güzel bir çanta begendim,0.0,0.0,0.0,1.0
göründüğü gibi güzel geldi,1.0,0.0,0.0,1.0
çok beğendim kaliteli duruşu var,1.0,0.0,0.0,1.0
fiyat performans,0.0,0.0,1.0,0.0
fiyatına göre kaliteli bi ürün bayıldım,1.0,0.0,1.0,0.0
boyut olarak biraz küçük geldi gözüme,0.0,0.0,0.0,1.0
"paketlemesi özenliydi, içine kağıtlar konulmuştu. boyutu ideal bencebüyük değil küçük de değil. derisi yumuşak. tokası gold renginde. i̇çindegönderilen not için de teşekkürler, çok ince düşünülmüş &lt;3",1.0,1.0,0.0,1.0
begendimm ürünü,1.0,0.0,0.0,0.0
sürekli kullandığım çanta oldu aldığım günden bu yana . fiyatı vekalitesi oldukça güzel . teşekkür ederiz (:,1.0,0.0,1.0,0.0
çook guzel tavsiye ederim,1.0,0.0,0.0,0.0
harika bir çanta:) ufak ama çok şık. i̇çine telefonum ve cüzdanım rahatça sığıyor:),0.0,0.0,0.0,1.0
çook güzel tavsiye ederim,1.0,0.0,0.0,0.0
çok tatlış bi ürün. cüzdan anahtarlık telefon rahatlıkla sığıyor. rujmaskara vs de konulabilir.,0.0,0.0,0.0,1.0
cok guzel tesekkurler,1.0,0.0,0.0,0.0
güzel bi çanta alınabilir,1.0,0.0,1.0,1.0
kesinlikle alınması gereken bı çanta bence. çok hoş ve kaliteli. çok beğendim,1.0,0.0,0.0,1.0
gorunus olarak gercekten cok sık bir canta ama gercekten ici cok kucuk.cok malzeme sigmaz indirimde bulursanız alin,0.0,0.0,1.0,1.0
tereddüt ederek almıştım ana genelde güzel beğendim sağlam geldi,1.0,1.0,0.0,0.0
harika kalitede. tavsiye edilir.,1.0,0.0,0.0,0.0
güzelllllllll,1.0,0.0,0.0,1.0
muhteşem bir şey beklemeyin. ama indirimli fiyatına değer. kurtarıcı bir çanta.,1.0,0.0,1.0,0.0
kaliteli güzel bı çanta begendim,1.0,0.0,0.0,1.0
"güzel çanta, kaliteli duruyor, küçük ve kullanışlı",1.0,0.0,0.0,1.0
çok kaliteli ve şık 🙏🏻 görümceme hediye aldım çok beğendiii 😌🌺,1.0,0.0,0.0,1.0
ürün bu fiyata alınacak güzel bir ürün. kardeşime hediye aldım çok beğendi,1.0,0.0,1.0,0.0
aynı ürünün iki rengini aldım kurtarıcı bi parça ve fiyata göre çokkaliteli duruyor ✨,1.0,0.0,1.0,0.0
harika bi çanta,1.0,0.0,0.0,1.0
cok şık bir çanta arkadaşıma hediye olarak aldım cok beğendi,0.0,0.0,0.0,1.0
güzeldi askısı biraz inceydi ama çok şık bir çantaa,1.0,0.0,0.0,1.0
"ürün sağlam bi şekilde hızlıca ulaştı ve beğendim , tek hoşuma gitmeyenaskıları,  daha kaliteli olabilirdi",1.0,1.0,0.0,1.0
kaliteli ve şık,1.0,0.0,0.0,1.0
çok güzel tatlı bir çanta,0.0,0.0,0.0,1.0
aşırı kaliteli,1.0,0.0,0.0,0.0
hem krem rengini hem siyahini aldim bircok kombinime uydurdum ve cokyakistirdim modelini cok begendim kalitesi de iyi ic haznesi biraz kucukama gorselden de goze alarak aldim tabii ki onun disinda teslimat daiyiydi kisa surede elime ulasti,1.0,1.0,0.0,1.0
gayet güzel bi ürün. sadece içi biraz küçük. o da çok problem değil.,1.0,0.0,0.0,1.0
çok güzel beğendim,1.0,0.0,0.0,1.0
annem çok sevdi,1.0,0.0,0.0,0.0
güzel ürün başarılı,1.0,0.0,0.0,1.0
harika bi çanta,1.0,0.0,0.0,1.0
krem rwnginide aldım çok beğendik,1.0,0.0,0.0,1.0
severek kullanıyorum,1.0,0.0,0.0,0.0
kaliteli ve her kadının dolabında olması gereken kurtarıcı bir çanta,1.0,0.0,0.0,0.0
efso bir ürün bayıldım tek kelimeyle,1.0,0.0,0.0,1.0
çanta tam istediğim gibi geldi çok beğendim teşekkür ederim 🫶🏻☺️,1.0,0.0,0.0,1.0
urun paketi saglam guzel bir sekilde teslim aldim,0.0,1.0,0.0,0.0
çok beğendim çok kaliteli duruyorlar,1.0,0.0,0.0,0.0
iade edeceğim,0.0,0.0,0.0,0.0
çok güzel hediye aldım,0.0,0.0,0.0,0.0
fiyatına göre gayet güzel her kombine uyan bi model beğendim,1.0,0.0,1.0,1.0
"kızlaaarr çok beğendim. boyut,  rengi, dokusu çok güzel. fotodagöründüğü gibi. fiyatı da uygun. modelini beğendiyseniz direkt alınkargolama da özenliydi. madamra'da gözüme kestirdiğim bir çanta daha varbiraz düşsün onu da alacağım 😼",1.0,1.0,1.0,1.0
fiyatına göre çok kaliteli,1.0,0.0,1.0,0.0
"bu fiyata inanılmaz güzel ve kaliteli. duruşu çok güzel düşünmeden alın.ayrıca güzel notunuz için çok çok teşekkürler, ne incelik🍀",1.0,1.0,1.0,1.0
cok begendim cok sık,1.0,0.0,0.0,1.0
severek kullanıyorum.,1.0,0.0,0.0,0.0
çok kullanışlı sevdim,1.0,0.0,0.0,0.0
gayet güzel kullanışlı bir çanta,1.0,0.0,0.0,1.0
güzel ama kulpu daha sağlam olabilirdi,1.0,0.0,0.0,1.0
ürün hızlı geldi ve paketleme güzeldi. f/p çantası zarif duruyor herkombinle uyar.,1.0,1.0,1.0,1.0
orta kaliteli,0.0,0.0,0.0,0.0
ürünee bayıldımm çok güzel tam göründüğü gibi geliyor duruşu aşırı hoşve fiyatıda çok uygun ayrıca not için teşekkürlerrr,1.0,0.0,1.0,1.0
ürün çok kaliteli 🙏satıcıya çok teşekkür ederim ☺️,1.0,0.0,0.0,0.0
cok güzel ve şık bir ürün,1.0,0.0,0.0,1.0
kalitesi çok iyi öyle uyduruk çakma çantalar gibi durmuyor bu fiyataböyle ürün şahane,1.0,0.0,1.0,1.0
çok guzel bir çanta çok şık her kombine uyuyor gayet kaliteli icinedebaya esya sigdirdim✨️,1.0,0.0,0.0,1.0
derisi sert ve gerçekten fiyat olarak kaliteli bir ürün,1.0,0.0,1.0,0.0
çok şık ve güzel,1.0,0.0,0.0,1.0
kaliteli bir çanta her kombine uyuyor,1.0,0.0,0.0,1.0
dokusu güzel tavsiye edilir,1.0,0.0,0.0,0.0
telefonunu ve cüzdanını koy çık çantası tatlış,0.0,0.0,0.0,1.0
her bayanın dolabında olmalı,1.0,0.0,0.0,1.0
güzel ama azıcık kısa kaldı,1.0,0.0,0.0,1.0
cok sevdimmm birazcık kucuk ama hiç önemli değil 😻,1.0,0.0,0.0,1.0
çok şık çok güzel,1.0,0.0,0.0,1.0
güzel beyendim küçük ve hoş kenarda biraz delik gini bişey var o canımısıktı biraz,1.0,0.0,0.0,1.0
kucuk ama çok.kaliteli,1.0,0.0,0.0,1.0
zara muadili nefis bir çanta çok tarz,1.0,0.0,1.0,1.0
resmen simdiye kadar aldığım en minnoş en zarif çanta olabilir kızlarhiç düşünmeyin aşırı güzel 🧡🧡🧡 not için de ayrıca teşekkürler çokanlamlı ve güzel bir nottu 💋,1.0,1.0,0.0,1.0
çok tatlı bir çanta severek kullanıyorum  kibar kullanışlı kaliteli,1.0,0.0,0.0,1.0
arkadaşıma hediye olarak aldım kalitesinden çok memnun kalmıştı az öncede bi tane kendim için sipariş verdim inşallah ben de beğenirim,1.0,0.0,0.0,0.0
fena değil,0.0,0.0,0.0,0.0
duruşu güzel ve yumuşacık bir çanta ayrıca içerisine birçok ürünrahatlıkla sığıyor,1.0,0.0,0.0,1.0
çok beğendim hem şık hem spor tam bi kurtarıcı,1.0,0.0,0.0,1.0
çok güzel ve kullanışlı,1.0,0.0,0.0,1.0
çok tatlı ben beğendim,1.0,0.0,0.0,1.0
"fiyat performans urunu,  ama yinede ben begendim.",1.0,0.0,1.0,0.0
güzel küçük ama,1.0,0.0,0.0,1.0
gayet güzel ve kullanışlı,1.0,0.0,0.0,1.0
ürün sorunsuz elime ulaştı.gayet güzel sade ve şık. hiç düşünmeden alın aşkolar.,1.0,1.0,0.0,1.0
göründüğü gibi geldi çok tatlı.bu mağazadan daha önce de alışverişyaptım hiç pişman etmedi teşekkürler,1.0,0.0,0.0,1.0
aşırı güzel 😍,1.0,0.0,0.0,1.0
çok tatlı ürün,0.0,0.0,0.0,1.0
kargom hızlı bir şekilde ulaştı. çanta kalitesi idare eder.,0.0,0.0,0.0,0.0
markanın bir kaç çantasını aldım çok kaliteli,1.0,0.0,0.0,0.0
güzel bence,1.0,0.0,0.0,1.0
çok güzel bir çanta ben çok beğendim alın aldırın,1.0,0.0,0.0,1.0
çok kaliteli geldi çok beğendim,1.0,0.0,0.0,0.0
"ürün çok güzel ama bi tık küçük yine de içine cüzdan telefon sıgıyor ,kaliteli duruyor tavsiye ederim",1.0,0.0,0.0,1.0
arkadaşıma hediye olarak gönderdim çok beğendi,0.0,0.0,0.0,0.0
çok hoş çok tatlı,1.0,0.0,0.0,1.0
cok büyük değil ama bircok sey icine sıgıyor,0.0,0.0,0.0,1.0
arkadaşıma hediye aldım çok beğendik,1.0,0.0,0.0,1.0
ürün çok şık ve hoş duruyor 😍,0.0,0.0,0.0,1.0
resmen aşık oldum bütün renklerini alıcamm 🤩,0.0,0.0,0.0,1.0
ürün gayet hoş gözüküyor.sadece kapak kısmı bana hafif yamuk gibi geldikapanırken düz kapanmıyor fakat değişim ile uğraşmak istemediğim için oküçük detayı göz ardı ediyorum genel anlamda güzel kullanışlı bir çanta.,1.0,0.0,0.0,1.0
çok beğendim sadece sap kısmı biraz ince,1.0,0.0,0.0,1.0
çookkkk şık çookkk güzel tek kelime ile harika,1.0,0.0,0.0,1.0
çok kibar bir çanta çok şık duruyor,1.0,0.0,0.0,1.0
çok şık günlük çanta,0.0,0.0,0.0,1.0
her şeyi ile çok kaliteli derisi yumuşacık askısı ayrı iki parça halindegeliyor fiyatı uygun olan muadillerinden de sipariş verip hüsranauğramıştım. minimal çanta kullanamayan beni bile alıştırdı diyebilirim,1.0,0.0,1.0,1.0
ürün çok güzel hediye aldım beğenildi,1.0,0.0,0.0,0.0
gayet güzel bir çanta kızlar kalitesiz falan diye yorumlar yapılmış hiçaldanmayın. bu fiyata çok iyi bence. boyutu çok hoşuma gitti ve şıkduruyor. i̇lk geldiğinde bir tık boya kokuyordu sadece.,1.0,0.0,1.0,1.0
güzel ürün,1.0,0.0,0.0,1.0
çok tatlı boyutunu çok beğendim,0.0,0.0,0.0,1.0
güzel şık bir çanta teşekkürler,1.0,0.0,0.0,1.0
inanılmaz kalite olayyy,1.0,0.0,0.0,0.0
çok beğendim,1.0,0.0,0.0,0.0
muadil ürün kaliteli geldi beğendim,1.0,0.0,0.0,0.0
çok güzel ben çok beğendim bunu aldıktan sonra evdeki diğer üç çantamıbaşkalarına verdim 😂,1.0,0.0,0.0,1.0
guzel bir ürün,1.0,0.0,0.0,1.0
kaliteli bir çanta,1.0,0.0,0.0,0.0
çok kaliteli duruyor çok beğendim 😊 🌸✅,1.0,0.0,0.0,1.0
ufak ama guzel,1.0,0.0,0.0,1.0
severek kullanıyorum küçük ve şık,0.0,0.0,0.0,1.0
çok hoş sevgilime aldım,0.0,0.0,0.0,1.0
paketleme daha güzel olabilirdi sorunsuz geldi yine de 😊 güzel çantabasit durmuyor biraz küçük ama güzel fiyat performans ürünü bence. benaldığım zaman hiç yorum yoktu tereddüt ederek almıştım ama güzel çıktı,1.0,1.0,1.0,1.0
tek kelimeyle bayıldım. çok kaliteli duruyo. tam istediğim boyda.,1.0,0.0,0.0,1.0
kalitesi çok iyi,1.0,0.0,0.0,0.0
güzel ürün,1.0,0.0,0.0,1.0
kaliteli ve kullanisli bir çanta 👍,1.0,0.0,0.0,0.0
çok çok çok güzelll,1.0,0.0,0.0,1.0
aşırı güzel bir çanta çok kaliteli,1.0,0.0,0.0,1.0
çok güzel bir çanta,1.0,0.0,0.0,1.0
çok begendim kaliteli duruyor indirimden aldim gayet kullanisli bir canta,1.0,0.0,1.0,0.0
o kadar güzel çanta ki bayılarak takıyorum 166 yl ye aldım,1.0,0.0,1.0,1.0
çok şık bir çanta,0.0,0.0,0.0,1.0
aylardır kullanıyorum çok kaliteli parasını hak ediyor,1.0,0.0,1.0,0.0
şık bir çanta,0.0,0.0,0.0,1.0
çok hoş çok kaliteli,1.0,0.0,0.0,1.0
güzel ütün,1.0,0.0,0.0,0.0
efsane bir çanta derisi çok yumuşak ve çok şıkkk,1.0,0.0,0.0,1.0
çanta gerçekten çok güzel ve şirin ama paketlemeye biraz daha dikkatedilmeli bence çünkü ezilebilir,1.0,1.0,0.0,1.0
hediye aldım beğenildi,0.0,0.0,0.0,0.0
"güzel paketleme ,harika çanta tam istediğim ebat cüzdan ve telefonsığacak kadar",1.0,1.0,0.0,1.0
kibar cok kullanışlı bir çanta,1.0,0.0,0.0,1.0
kaliteli bir çanta çok beğendim cüzdan ve birkaç küçük şey alır çokgeniş beklemeyin,1.0,0.0,0.0,1.0
"kulpları kalitesiz geldi onun dışında çanta gayet güzel,paketlenmesi iyidi",1.0,1.0,0.0,1.0
fiyatı hemen arttı çok kullanışlı,1.0,0.0,1.0,0.0
"ablama hediye olarak almıştım, bayıldı. güzel paketlemeniz ve hızlıgönderiminiz için teşekkür ederim . 🥰😁",0.0,1.0,0.0,0.0
oldukça kaliteli görünüyor beğendim.,1.0,0.0,0.0,0.0
çok havalı bir çanta çok beğeniyorum,0.0,0.0,0.0,1.0
"çok güzel bir ürün, çok sevdim. ayrıca not için çok teşekkür ederim.",1.0,1.0,0.0,0.0
"çok güzel, kaliteli ürün",1.0,0.0,0.0,0.0
ürün minik güzel.,0.0,0.0,0.0,1.0
çok zarif ve her dolapta olması gereken bir çanta :),1.0,0.0,0.0,1.0
teşekkürler,0.0,0.0,0.0,0.0
kullanışlı ve gayet spor ve klasik olarak kombinlenebilir beğendim,1.0,0.0,0.0,1.0
bayıldımm çok güzel,1.0,0.0,0.0,1.0
çok kaliteli ve zarif,1.0,0.0,0.0,1.0
aldığım en güzel çanta ve nottu ❤️,1.0,1.0,0.0,1.0
zara muadili cok iyi.,1.0,0.0,1.0,1.0
arkadaşıma doğum günü hediyesi olarak aldım ve bayıldıkkk çok kalitelibir çanta  kargo da hızlıydı sipariş verdim ertesi gün teslim edildiayrıca içinden çıkan not da bizi çok duygulandırdı 💗✨,1.0,1.0,0.0,0.0
fiyatına göre kalitesi gayet iyi şık duruyor kesinlikle alınır,1.0,0.0,1.0,1.0
fena değil,0.0,0.0,0.0,0.0
çok şık ve kaliteli bir çanta. özenle paketlenmiş ve yanında dakalbinize dokunan bir not var. kadın dokunuşu dedikleri bu olsa gerek.,1.0,1.0,0.0,1.0
fakire fukaraya aldık sevinsin diye sordum kendisine çok begenmişkaliteli dedi,1.0,0.0,0.0,0.0
çok kaliteli çok güzel,1.0,0.0,0.0,1.0
